Year,State,Sex,Category,Age,Rate 
2002,CA,Female,"Female,White","Female,Black,65 over",2.3
2002,CA,Female,"Female,White","Female,Latin,16-24",2.3
2002,CA,Female,"Female,White","Female,Latin,25-44",2.7
2002,CA,Female,"Female,White","Female,Latin,45-54",3.5
2002,CA,Female,"Female,White","Female,Latin,55-64",3.2
2002,CA,Female,"Female,White","Female,Latin,65 over",2.7
2002,CA,Female,"Female,White","Male,White,16-24 ",3.8
2002,CA,Female,"Female,White","Male,White,25-44 ",2.2
2002,CA,Female,"Female,White","Male,White,25-54 ",2.7
2002,CA,Female,"Female,White","Male,White,55-64 ",2.9
2002,CA,Female,"Female,White","Male,White,65 over",3.2
2002,CA,Female,"Female,White","Male,Asian,16-24",4.4
2002,CA,Female,"Female,White","Male,Asian,25-44",2.4
2002,CA,Female,"Female,White","Male,Asian,45-54",3.4
2002,CA,Female,"Female,White","Male,Asian,55-64",3.7
2002,CA,Female,"Female,White","Male,Asian,65 over",1.9
2002,CA,Female,"Female,White","Male,Black,16-24",3.8
2002,CA,Female,"Female,White","Male,Black,25-44",2.3
2002,CA,Female,"Female,White","Male,Black,45-54",1.9
2002,CA,Female,"Female,White","Male,Black,55-64",4.9
2002,CA,Female,"Female,White","Male,Black,65 over",5.0
2002,CA,Female,"Female,White","Male,Latin,16-24",4.5
2002,CA,Female,"Female,White","Male,Latin,25-44",2.7
2002,CA,Female,"Female,White","Male,Latin,45-54",2.0
2002,CA,Female,"Female,White","Male,Latin,55-64",4.0
2002,CA,Female,"Female,White","Male,Latin,65 over",3.2
2002,CA,Female,"Female,Asian","Female,White,16-24 ",2.1
2002,CA,Female,"Female,Asian","Female,White,25-44",3.4
2002,CA,Female,"Female,Asian","Female,White,45-54",1.8
2002,CA,Female,"Female,Asian","Female,White,55-64",4.8
2002,CA,Female,"Female,Asian","Female,White,65 over",2.6
2002,CA,Female,"Female,Asian","Female,Asian,16-24",3.9
2002,CA,Female,"Female,Asian","Female,Asian,25-44",2.8
2002,CA,Female,"Female,Asian","Female,Asian,45-54",3.5
2002,CA,Female,"Female,Asian","Female,Asian,55-64",3.6
2002,CA,Female,"Female,Asian","Female,Asian,65 over",2.3
2002,CA,Female,"Female,Asian","Female,Black,16-24",5.0
2002,CA,Female,"Female,Asian","Female,Black,25-44",4.3
2002,CA,Female,"Female,Asian","Female,Black,45-54",4.9
2002,CA,Female,"Female,Asian","Female,Black,55-64",4.8
2002,CA,Female,"Female,Asian","Female,Black,65 over",3.7
2002,CA,Female,"Female,Asian","Female,Latin,16-24",4.8
2002,CA,Female,"Female,Asian","Female,Latin,25-44",2.0
2002,CA,Female,"Female,Asian","Female,Latin,45-54",2.4
2002,CA,Female,"Female,Asian","Female,Latin,55-64",1.9
2002,CA,Female,"Female,Asian","Female,Latin,65 over",2.8
2002,CA,Female,"Female,Asian","Male,White,16-24 ",3.0
2002,CA,Female,"Female,Asian","Male,White,25-44 ",2.6
2002,CA,Female,"Female,Asian","Male,White,25-54 ",4.5
2002,CA,Female,"Female,Asian","Male,White,55-64 ",2.9
2002,CA,Female,"Female,Asian","Male,White,65 over",2.6
2002,CA,Female,"Female,Asian","Male,Asian,16-24",3.5
2002,CA,Female,"Female,Asian","Male,Asian,25-44",2.2
2002,CA,Female,"Female,Asian","Male,Asian,45-54",4.4
2002,CA,Female,"Female,Asian","Male,Asian,55-64",2.0
2002,CA,Female,"Female,Asian","Male,Asian,65 over",5.1
2002,CA,Female,"Female,Asian","Male,Black,16-24",4.3
2002,CA,Female,"Female,Asian","Male,Black,25-44",2.4
2002,CA,Female,"Female,Asian","Male,Black,45-54",1.7
2002,CA,Female,"Female,Asian","Male,Black,55-64",4.5
2002,CA,Female,"Female,Asian","Male,Black,65 over",4.1
2002,CA,Female,"Female,Asian","Male,Latin,16-24",4.2
2002,CA,Female,"Female,Asian","Male,Latin,25-44",4.3
2002,CA,Female,"Female,Asian","Male,Latin,45-54",2.0
2002,CA,Female,"Female,Asian","Male,Latin,55-64",2.9
2002,CA,Female,"Female,Asian","Male,Latin,65 over",2.1
2002,CA,Female,"Female,Black","Female,White,16-24 ",4.6
2002,CA,Female,"Female,Black","Female,White,25-44",3.8
2002,CA,Female,"Female,Black","Female,White,45-54",2.8
2002,CA,Female,"Female,Black","Female,White,55-64",1.9
2002,CA,Female,"Female,Black","Female,White,65 over",2.8
2002,CA,Female,"Female,Black","Female,Asian,16-24",2.8
2002,CA,Female,"Female,Black","Female,Asian,25-44",4.2
2002,CA,Female,"Female,Black","Female,Asian,45-54",3.9
2002,CA,Female,"Female,Black","Female,Asian,55-64",4.7
2002,CA,Female,"Female,Black","Female,Asian,65 over",3.3
2002,CA,Female,"Female,Black","Female,Black,16-24",2.1
2002,CA,Female,"Female,Black","Female,Black,25-44",4.1
2002,CA,Female,"Female,Black","Female,Black,45-54",4.3
2002,CA,Female,"Female,Black","Female,Black,55-64",3.6
2002,CA,Female,"Female,Black","Female,Black,65 over",4.3
2002,CA,Female,"Female,Black","Female,Latin,16-24",3.4
2002,CA,Female,"Female,Black","Female,Latin,25-44",3.5
2002,CA,Female,"Female,Black","Female,Latin,45-54",3.1
2002,CA,Female,"Female,Black","Female,Latin,55-64",1.8
2002,CA,Female,"Female,Black","Female,Latin,65 over",2.1
2002,CA,Female,"Female,Black","Male,White,16-24 ",1.8
2002,CA,Female,"Female,Black","Male,White,25-44 ",3.9
2002,CA,Female,"Female,Black","Male,White,25-54 ",2.8
2002,CA,Female,"Female,Black","Male,White,55-64 ",3.4
2002,CA,Female,"Female,Black","Male,White,65 over",4.8
2002,CA,Female,"Female,Black","Male,Asian,16-24",2.5
2002,CA,Female,"Female,Black","Male,Asian,25-44",3.1
2002,CA,Female,"Female,Black","Male,Asian,45-54",4.2
2002,CA,Female,"Female,Black","Male,Asian,55-64",2.5
2002,CA,Female,"Female,Black","Male,Asian,65 over",2.0
2002,CA,Female,"Female,Black","Male,Black,16-24",2.7
2002,CA,Female,"Female,Black","Male,Black,25-44",2.2
2002,CA,Female,"Female,Black","Male,Black,45-54",4.8
2002,CA,Female,"Female,Black","Male,Black,55-64",4.5
2002,CA,Female,"Female,Black","Male,Black,65 over",3.9
2002,CA,Female,"Female,Black","Male,Latin,16-24",4.7
2002,CA,Female,"Female,Black","Male,Latin,25-44",4.4
2002,CA,Female,"Female,Black","Male,Latin,45-54",2.3
2002,CA,Female,"Female,Black","Male,Latin,55-64",4.7
2002,CA,Female,"Female,Black","Male,Latin,65 over",3.5
2002,CA,Female,"Female,Latin","Female,White,16-24 ",4.5
2002,CA,Female,"Female,Latin","Female,White,25-44",4.8
2002,CA,Female,"Female,Latin","Female,White,45-54",2.8
2002,CA,Female,"Female,Latin","Female,White,55-64",2.1
2002,CA,Female,"Female,Latin","Female,White,65 over",2.5
2002,CA,Female,"Female,Latin","Female,Asian,16-24",3.1
2002,CA,Female,"Female,Latin","Female,Asian,25-44",4.5
2002,CA,Female,"Female,Latin","Female,Asian,45-54",4.6
2002,CA,Female,"Female,Latin","Female,Asian,55-64",1.7
2002,CA,Female,"Female,Latin","Female,Asian,65 over",3.4
2002,CA,Female,"Female,Latin","Female,Black,16-24",3.1
2002,CA,Female,"Female,Latin","Female,Black,25-44",2.5
2002,CA,Female,"Female,Latin","Female,Black,45-54",2.1
2002,CA,Female,"Female,Latin","Female,Black,55-64",2.8
2002,CA,Female,"Female,Latin","Female,Black,65 over",4.9
2002,CA,Female,"Female,Latin","Female,Latin,16-24",2.8
2002,CA,Female,"Female,Latin","Female,Latin,25-44",3.5
2002,CA,Female,"Female,Latin","Female,Latin,45-54",4.1
2002,CA,Female,"Female,Latin","Female,Latin,55-64",2.9
2002,CA,Female,"Female,Latin","Female,Latin,65 over",5.0
2002,CA,Female,"Female,Latin","Male,White,16-24 ",5.0
2002,CA,Female,"Female,Latin","Male,White,25-44 ",2.5
2002,CA,Female,"Female,Latin","Male,White,25-54 ",3.4
2002,CA,Female,"Female,Latin","Male,White,55-64 ",2.7
2002,CA,Female,"Female,Latin","Male,White,65 over",2.7
2002,CA,Female,"Female,Latin","Male,Asian,16-24",1.8
2002,CA,Female,"Female,Latin","Male,Asian,25-44",3.8
2002,CA,Female,"Female,Latin","Male,Asian,45-54",3.4
2002,CA,Female,"Female,Latin","Male,Asian,55-64",1.9
2002,CA,Female,"Female,Latin","Male,Asian,65 over",2.6
2002,CA,Female,"Female,Latin","Male,Black,16-24",4.8
2002,CA,Female,"Female,Latin","Male,Black,25-44",2.5
2002,CA,Female,"Female,Latin","Male,Black,45-54",2.2
2002,CA,Female,"Female,Latin","Male,Black,55-64",3.4
2002,CA,Female,"Female,Latin","Male,Black,65 over",5.1
2002,CA,Female,"Female,Latin","Male,Latin,16-24",2.5
2002,CA,Female,"Female,Latin","Male,Latin,25-44",4.0
2002,CA,Female,"Female,Latin","Male,Latin,45-54",4.3
2002,CA,Female,"Female,Latin","Male,Latin,55-64",2.5
2002,CA,Female,"Female,Latin","Male,Latin,65 over",4.2
2002,CA,Male,"Male,White","Female,White,16-24 ",2.9
2002,CA,Male,"Male,White","Female,White,25-44",3.9
2002,CA,Male,"Male,White","Female,White,45-54",3.9
2002,CA,Male,"Male,White","Female,White,55-64",3.5
2002,CA,Male,"Male,White","Female,White,65 over",2.0
2002,CA,Male,"Male,White","Female,Asian,16-24",4.5
2002,CA,Male,"Male,White","Female,Asian,25-44",2.8
2002,CA,Male,"Male,White","Female,Asian,45-54",2.3
2002,CA,Male,"Male,White","Female,Asian,55-64",1.8
2002,CA,Male,"Male,White","Female,Asian,65 over",3.7
2002,CA,Male,"Male,White","Female,Black,16-24",4.0
2002,CA,Male,"Male,White","Female,Black,25-44",1.7
2002,CA,Male,"Male,White","Female,Black,45-54",3.4
2002,CA,Male,"Male,White","Female,Black,55-64",2.5
2002,CA,Male,"Male,White","Female,Black,65 over",3.9
2002,CA,Male,"Male,White","Female,Latin,16-24",2.3
2002,CA,Male,"Male,White","Female,Latin,25-44",4.0
2002,CA,Male,"Male,White","Female,Latin,45-54",3.0
2002,CA,Male,"Male,White","Female,Latin,55-64",4.9
2002,CA,Male,"Male,White","Female,Latin,65 over",2.2
2002,CA,Male,"Male,White","Male,White,16-24 ",2.8
2002,CA,Male,"Male,White","Male,White,25-44 ",2.1
2002,CA,Male,"Male,White","Male,White,25-54 ",4.8
2002,CA,Male,"Male,White","Male,White,55-64 ",4.7
2002,CA,Male,"Male,White","Male,White,65 over",2.6
2002,CA,Male,"Male,White","Male,Asian,16-24",3.9
2002,CA,Male,"Male,White","Male,Asian,25-44",4.5
2002,CA,Male,"Male,White","Male,Asian,45-54",3.6
2002,CA,Male,"Male,White","Male,Asian,55-64",3.5
2002,CA,Male,"Male,White","Male,Asian,65 over",2.5
2002,CA,Male,"Male,White","Male,Black,16-24",2.0
2002,CA,Male,"Male,White","Male,Black,25-44",4.8
2002,CA,Male,"Male,White","Male,Black,45-54",4.8
2002,CA,Male,"Male,White","Male,Black,55-64",3.9
2002,CA,Male,"Male,White","Male,Black,65 over",2.8
2002,CA,Male,"Male,White","Male,Latin,16-24",2.9
2002,CA,Male,"Male,White","Male,Latin,25-44",4.2
2002,CA,Male,"Male,White","Male,Latin,45-54",4.8
2002,CA,Male,"Male,White","Male,Latin,55-64",4.7
2002,CA,Male,"Male,White","Male,Latin,65 over",4.3
2002,CA,Male,"Male,Asiain","Female,White,16-24 ",3.9
2002,CA,Male,"Male,Asiain","Female,White,25-44",2.0
2002,CA,Male,"Male,Asiain","Female,White,45-54",2.2
2002,CA,Male,"Male,Asiain","Female,White,55-64",4.8
2002,CA,Male,"Male,Asiain","Female,White,65 over",3.8
2002,CA,Male,"Male,Asiain","Female,Asian,16-24",1.7
2002,CA,Male,"Male,Asiain","Female,Asian,25-44",2.0
2002,CA,Male,"Male,Asiain","Female,Asian,45-54",3.9
2002,CA,Male,"Male,Asiain","Female,Asian,55-64",1.7
2002,CA,Male,"Male,Asiain","Female,Asian,65 over",2.2
2002,CA,Male,"Male,Asiain","Female,Black,16-24",3.6
2002,CA,Male,"Male,Asiain","Female,Black,25-44",4.0
2002,CA,Male,"Male,Asiain","Female,Black,45-54",3.9
2002,CA,Male,"Male,Asiain","Female,Black,55-64",2.5
2002,CA,Male,"Male,Asiain","Female,Black,65 over",4.1
2002,CA,Male,"Male,Asiain","Female,Latin,16-24",2.5
2002,CA,Male,"Male,Asiain","Female,Latin,25-44",2.8
2002,CA,Male,"Male,Asiain","Female,Latin,45-54",4.2
2002,CA,Male,"Male,Asiain","Female,Latin,55-64",3.9
2002,CA,Male,"Male,Asiain","Female,Latin,65 over",4.6
2002,CA,Male,"Male,Asiain","Male,White,16-24 ",3.9
2002,CA,Male,"Male,Asiain","Male,White,25-44 ",3.6
2002,CA,Male,"Male,Asiain","Male,White,25-54 ",2.0
2002,CA,Male,"Male,Asiain","Male,White,55-64 ",2.9
2002,CA,Male,"Male,Asiain","Male,White,65 over",2.6
2002,CA,Male,"Male,Asiain","Male,Asian,16-24",2.5
2002,CA,Male,"Male,Asiain","Male,Asian,25-44",5.0
2002,CA,Male,"Male,Asiain","Male,Asian,45-54",3.0
2002,CA,Male,"Male,Asiain","Male,Asian,55-64",4.7
2002,CA,Male,"Male,Asiain","Male,Asian,65 over",3.8
2002,CA,Male,"Male,Asiain","Male,Black,16-24",4.4
2002,CA,Male,"Male,Asiain","Male,Black,25-44",3.4
2002,CA,Male,"Male,Asiain","Male,Black,45-54",3.7
2002,CA,Male,"Male,Asiain","Male,Black,55-64",3.4
2002,CA,Male,"Male,Asiain","Male,Black,65 over",2.4
2002,CA,Male,"Male,Asiain","Male,Latin,16-24",4.2
2002,CA,Male,"Male,Asiain","Male,Latin,25-44",2.6
2002,CA,Male,"Male,Asiain","Male,Latin,45-54",1.8
2002,CA,Male,"Male,Asiain","Male,Latin,55-64",3.9
2002,CA,Male,"Male,Asiain","Male,Latin,65 over",2.3
2002,CA,Male,"Male,Black","Female,White,16-24 ",4.9
2002,CA,Male,"Male,Black","Female,White,25-44",4.9
2002,CA,Male,"Male,Black","Female,White,45-54",4.8
2002,CA,Male,"Male,Black","Female,White,55-64",3.0
2002,CA,Male,"Male,Black","Female,White,65 over",1.7
2002,CA,Male,"Male,Black","Female,Asian,16-24",4.8
2002,CA,Male,"Male,Black","Female,Asian,25-44",3.1
2002,CA,Male,"Male,Black","Female,Asian,45-54",5.0
2002,CA,Male,"Male,Black","Female,Asian,55-64",5.0
2002,CA,Male,"Male,Black","Female,Asian,65 over",4.6
2002,CA,Male,"Male,Black","Female,Black,16-24",2.7
2002,CA,Male,"Male,Black","Female,Black,25-44",3.0
2002,CA,Male,"Male,Black","Female,Black,45-54",4.6
2002,CA,Male,"Male,Black","Female,Black,55-64",2.8
2002,CA,Male,"Male,Black","Female,Black,65 over",2.3
2002,CA,Male,"Male,Black","Female,Latin,16-24",3.6
2002,CA,Male,"Male,Black","Female,Latin,25-44",4.9
2002,CA,Male,"Male,Black","Female,Latin,45-54",4.1
2002,CA,Male,"Male,Black","Female,Latin,55-64",3.7
2002,CA,Male,"Male,Black","Female,Latin,65 over",2.0
2002,CA,Male,"Male,Black","Male,White,16-24 ",3.8
2002,CA,Male,"Male,Black","Male,White,25-44 ",5.1
2002,CA,Male,"Male,Black","Male,White,25-54 ",2.2
2002,CA,Male,"Male,Black","Male,White,55-64 ",3.4
2002,CA,Male,"Male,Black","Male,White,65 over",4.7
2002,CA,Male,"Male,Black","Male,Asian,16-24",4.2
2002,CA,Male,"Male,Black","Male,Asian,25-44",4.1
2002,CA,Male,"Male,Black","Male,Asian,45-54",4.1
2002,CA,Male,"Male,Black","Male,Asian,55-64",2.9
2002,CA,Male,"Male,Black","Male,Asian,65 over",2.7
2002,CA,Male,"Male,Black","Male,Black,16-24",4.5
2002,CA,Male,"Male,Black","Male,Black,25-44",4.5
2002,CA,Male,"Male,Black","Male,Black,45-54",4.6
2002,CA,Male,"Male,Black","Male,Black,55-64",4.8
2002,CA,Male,"Male,Black","Male,Black,65 over",3.4
2002,CA,Male,"Male,Black","Male,Latin,16-24",3.4
2002,CA,Male,"Male,Black","Male,Latin,25-44",4.4
2002,CA,Male,"Male,Black","Male,Latin,45-54",3.9
2002,CA,Male,"Male,Black","Male,Latin,55-64",4.1
2002,CA,Male,"Male,Black","Male,Latin,65 over",4.4
2002,CA,Male,"Male,Latin","Female,White,16-24 ",4.7
2002,CA,Male,"Male,Latin","Female,White,25-44",2.8
2002,CA,Male,"Male,Latin","Female,White,45-54",3.0
2002,CA,Male,"Male,Latin","Female,White,55-64",2.0
2002,CA,Male,"Male,Latin","Female,White,65 over",3.7
2002,CA,Male,"Male,Latin","Female,Asian,16-24",1.8
2002,CA,Male,"Male,Latin","Female,Asian,25-44",3.3
2002,CA,Male,"Male,Latin","Female,Asian,45-54",3.5
2002,CA,Male,"Male,Latin","Female,Asian,55-64",2.7
2002,CA,Male,"Male,Latin","Female,Asian,65 over",3.7
2002,CA,Male,"Male,Latin","Female,Black,16-24",1.8
2002,CA,Male,"Male,Latin","Female,Black,25-44",1.8
2002,CA,Male,"Male,Latin","Female,Black,45-54",4.5
2002,CA,Male,"Male,Latin","Female,Black,55-64",2.9
2002,CA,Male,"Male,Latin","Female,Black,65 over",2.1
2002,CA,Male,"Male,Latin","Female,Latin,16-24",3.5
2002,CA,Male,"Male,Latin","Female,Latin,25-44",4.3
2002,CA,Male,"Male,Latin","Female,Latin,45-54",2.4
2002,CA,Male,"Male,Latin","Female,Latin,55-64",3.8
2002,CA,Male,"Male,Latin","Female,Latin,65 over",2.0
2002,CA,Male,"Male,Latin","Male,White,16-24 ",1.9
2002,CA,Male,"Male,Latin","Male,White,25-44 ",3.5
2002,CA,Male,"Male,Latin","Male,White,25-54 ",3.5
2002,CA,Male,"Male,Latin","Male,White,55-64 ",3.9
2002,CA,Male,"Male,Latin","Male,White,65 over",4.2
2002,CA,Male,"Male,Latin","Male,Asian,16-24",5.0
2002,CA,Male,"Male,Latin","Male,Asian,25-44",3.4
2002,CA,Male,"Male,Latin","Male,Asian,45-54",2.8
2002,CA,Male,"Male,Latin","Male,Asian,55-64",4.4
2002,CA,Male,"Male,Latin","Male,Asian,65 over",2.6
2002,CA,Male,"Male,Latin","Male,Black,16-24",3.2
2002,CA,Male,"Male,Latin","Male,Black,25-44",2.0
2002,CA,Male,"Male,Latin","Male,Black,45-54",1.8
2002,CA,Male,"Male,Latin","Male,Black,55-64",5.0
2002,CA,Male,"Male,Latin","Male,Black,65 over",4.5
2002,CA,Male,"Male,Latin","Male,Latin,16-24",4.1
2002,CA,Male,"Male,Latin","Male,Latin,25-44",3.1
2002,CA,Male,"Male,Latin","Male,Latin,45-54",2.3
2002,CA,Male,"Male,Latin","Male,Latin,55-64",2.2
2002,CA,Male,"Male,Latin","Male,Latin,65 over",2.5
2003,CA,Female,"Female,White","Female,White,16-24 ",3.6
2003,CA,Female,"Female,White","Female,White,25-44",4.2
2003,CA,Female,"Female,White","Female,White,45-54",4.0
2003,CA,Female,"Female,White","Female,White,55-64",2.7
2003,CA,Female,"Female,White","Female,White,65 over",5.0
2003,CA,Female,"Female,White","Female,Asian,16-24",4.3
2003,CA,Female,"Female,White","Female,Asian,25-44",3.6
2003,CA,Female,"Female,White","Female,Asian,45-54",3.9
2003,CA,Female,"Female,White","Female,Asian,55-64",3.2
2003,CA,Female,"Female,White","Female,Asian,65 over",2.6
2003,CA,Female,"Female,White","Female,Black,16-24",2.9
2003,CA,Female,"Female,White","Female,Black,25-44",4.4
2003,CA,Female,"Female,White","Female,Black,45-54",1.8
2003,CA,Female,"Female,White","Female,Black,55-64",2.1
2003,CA,Female,"Female,White","Female,Black,65 over",1.9
2003,CA,Female,"Female,White","Female,Latin,16-24",1.9
2003,CA,Female,"Female,White","Female,Latin,25-44",4.7
2003,CA,Female,"Female,White","Female,Latin,45-54",4.2
2003,CA,Female,"Female,White","Female,Latin,55-64",3.4
2003,CA,Female,"Female,White","Female,Latin,65 over",2.1
2003,CA,Female,"Female,White","Male,White,16-24 ",3.4
2003,CA,Female,"Female,White","Male,White,25-44 ",3.4
2003,CA,Female,"Female,White","Male,White,25-54 ",2.3
2003,CA,Female,"Female,White","Male,White,55-64 ",3.3
2003,CA,Female,"Female,White","Male,White,65 over",3.1
2003,CA,Female,"Female,White","Male,Asian,16-24",3.9
2003,CA,Female,"Female,White","Male,Asian,25-44",3.9
2003,CA,Female,"Female,White","Male,Asian,45-54",1.9
2003,CA,Female,"Female,White","Male,Asian,55-64",3.0
2003,CA,Female,"Female,White","Male,Asian,65 over",3.9
2003,CA,Female,"Female,White","Male,Black,16-24",3.5
2003,CA,Female,"Female,White","Male,Black,25-44",4.7
2003,CA,Female,"Female,White","Male,Black,45-54",4.0
2003,CA,Female,"Female,White","Male,Black,55-64",2.3
2003,CA,Female,"Female,White","Male,Black,65 over",2.0
2003,CA,Female,"Female,White","Male,Latin,16-24",3.9
2003,CA,Female,"Female,White","Male,Latin,25-44",1.8
2003,CA,Female,"Female,White","Male,Latin,45-54",3.8
2003,CA,Female,"Female,White","Male,Latin,55-64",5.0
2003,CA,Female,"Female,White","Male,Latin,65 over",3.7
2003,CA,Female,"Female,Asian","Female,White,16-24 ",3.1
2003,CA,Female,"Female,Asian","Female,White,25-44",3.9
2003,CA,Female,"Female,Asian","Female,White,45-54",3.3
2003,CA,Female,"Female,Asian","Female,White,55-64",3.6
2003,CA,Female,"Female,Asian","Female,White,65 over",5.0
2003,CA,Female,"Female,Asian","Female,Asian,16-24",3.1
2003,CA,Female,"Female,Asian","Female,Asian,25-44",5.1
2003,CA,Female,"Female,Asian","Female,Asian,45-54",4.9
2003,CA,Female,"Female,Asian","Female,Asian,55-64",2.4
2003,CA,Female,"Female,Asian","Female,Asian,65 over",2.0
2003,CA,Female,"Female,Asian","Female,Black,16-24",2.1
2003,CA,Female,"Female,Asian","Female,Black,25-44",1.8
2003,CA,Female,"Female,Asian","Female,Black,45-54",2.1
2003,CA,Female,"Female,Asian","Female,Black,55-64",4.1
2003,CA,Female,"Female,Asian","Female,Black,65 over",2.0
2003,CA,Female,"Female,Asian","Female,Latin,16-24",2.9
2003,CA,Female,"Female,Asian","Female,Latin,25-44",4.7
2003,CA,Female,"Female,Asian","Female,Latin,45-54",1.8
2003,CA,Female,"Female,Asian","Female,Latin,55-64",4.6
2003,CA,Female,"Female,Asian","Female,Latin,65 over",2.7
2003,CA,Female,"Female,Asian","Male,White,16-24 ",2.1
2003,CA,Female,"Female,Asian","Male,White,25-44 ",4.2
2003,CA,Female,"Female,Asian","Male,White,25-54 ",3.9
2003,CA,Female,"Female,Asian","Male,White,55-64 ",4.8
2003,CA,Female,"Female,Asian","Male,White,65 over",4.3
2003,CA,Female,"Female,Asian","Male,Asian,16-24",4.5
2003,CA,Female,"Female,Asian","Male,Asian,25-44",2.7
2003,CA,Female,"Female,Asian","Male,Asian,45-54",2.3
2003,CA,Female,"Female,Asian","Male,Asian,55-64",4.3
2003,CA,Female,"Female,Asian","Male,Asian,65 over",4.6
2003,CA,Female,"Female,Asian","Male,Black,16-24",5.2
2003,CA,Female,"Female,Asian","Male,Black,25-44",3.2
2003,CA,Female,"Female,Asian","Male,Black,45-54",3.0
2003,CA,Female,"Female,Asian","Male,Black,55-64",4.4
2003,CA,Female,"Female,Asian","Male,Black,65 over",2.9
2003,CA,Female,"Female,Asian","Male,Latin,16-24",4.9
2003,CA,Female,"Female,Asian","Male,Latin,25-44",4.7
2003,CA,Female,"Female,Asian","Male,Latin,45-54",3.2
2003,CA,Female,"Female,Asian","Male,Latin,55-64",4.3
2003,CA,Female,"Female,Asian","Male,Latin,65 over",4.3
2003,CA,Female,"Female,Black","Female,White,16-24 ",2.1
2003,CA,Female,"Female,Black","Female,White,25-44",4.9
2003,CA,Female,"Female,Black","Female,White,45-54",3.5
2003,CA,Female,"Female,Black","Female,White,55-64",4.6
2003,CA,Female,"Female,Black","Female,White,65 over",2.9
2003,CA,Female,"Female,Black","Female,Asian,16-24",4.9
2003,CA,Female,"Female,Black","Female,Asian,25-44",3.1
2003,CA,Female,"Female,Black","Female,Asian,45-54",1.8
2003,CA,Female,"Female,Black","Female,Asian,55-64",4.9
2003,CA,Female,"Female,Black","Female,Asian,65 over",2.0
2003,CA,Female,"Female,Black","Female,Black,16-24",2.9
2003,CA,Female,"Female,Black","Female,Black,25-44",5.0
2003,CA,Female,"Female,Black","Female,Black,45-54",5.0
